"1","Where is the Chesapeake and Albemarle Railroad reporting marks located?","Ahoskie "
"2","When was the Chesapeake and Albemarle Railroad started?","1990 "
"3","What type of region does the Chesapeake and Albemarle Railroad operate through?","Farm country "
"4","How many miles of trackage does the Chesapeake and Albemarle Railroad operate today?","Over 70 miles "
"5","What was the name of the Norfolk Southern Railway s main line?","Charlotte "
"6","What type of railroad did the Chesapeake and Albemarle Railroad operate through?","Regional "
"7","When was the Chesapeake and Albemarle Railroad acquired?","1970s "
"8","Who owned the Chesapeake and Albemarle Railroad?","The original Norfolk Southern Railway "
"9","Where did the Chesapeake and Albemarle Railroad operate?","Eastern North Carolina "
"10","What were the lines of the NS s main line from Norfolk to Raleigh?","Raleigh, Durham, Fayetteville, and Charlotte "
"11","What is the name of the NS s main line from Norfolk to North Carolina?","Raleigh "
"12","What railroad became a well known entity in North Carolina?","Norfolk Southern "
"13","When was the Norfolk Southern Railway named?","1881 "
"14","What was the name of the Norfolk Southern railroad in 1870?"," Elizabeth City & Norfolk Railroad "
"15","Where did the Norfolk Southern expand in the early 20th century?","Eastcentral North Carolina "
"16","When did the Norfolk Southern begin to reach the west of Chocowinity?","1910 "
