"1","What did the Transcontinental Railroad exist as a separate corporate entity before joining the Southern Pacific?","Central Pacific Railroad CP "
"2","What was the name of the railroad that helped establish the Central Pacific Railroad?","Transcontinental Railroad "
"3","When did the Transcontinental Railroad meet?","May 10, 1869 "
"4","What is the story of the Transcontinental Railroad CP?","Extreme hardship, determination, and virtually impossible odds "
"5","What happened to the Transcontinental Railroad CP?","No one believed it could be done until it actually happened "
"6","How long did the Transcontinental Railroad hack out new rightsofway by hand?","Six years "
"7","What mountains did Central Pacific have to build through?","Sierra Nevada Mountains "
"8","Who knew the Transcontinental Railroad could be completed?","Theodore D. Judah "
"9","What railroad did the Transcontinental Railroad CP join?","Union Pacific "
"10","When did the Transcontinental Railroad begin?","Civil War s outbreak "
"11","Who wrote The Northern Pacific, Main Street Of The Northwest A Pictorial History?","Charles R. Wood "
"12","How many different options were put forth from north to south?","Eight "
"13","What was the main issue that Congress could not decide on?","Slavery "
"14","Who was elected the 16th President of the United States on November 6, 1860?","Abraham Lincoln "
"15","When was Abraham Lincoln elected the 16th President of the United States?","November 6, 1860 "
"16","When did South Carolina begin to secede?","December 20, 1860 "
"17","Who had the freedom to choose whichever route the wished and settled upon the central option?","Northern congressmen and senators "
"18","Who thought departing from Omaha, Nebraska Territory was the most logical route?","Greenville Dodge "
"19","Where would a meeting point with the Central Pacific be established?","Utah Territory and the Nevada California state line "
"20","When was the Pacific Railroad Act passed?","May 6th "
"21","What was the name of the CP that was created by the Pacific Railroad Act?","Union Pacific "
"22","Who wrote The Men Who Built The Transcontinental Railroad?","Stephen Ambrose "
"23","What was the name of Collis P. Huntington, Mark Hopkins, Leland Stanford, and Charles Crocker?","Big Four "
"24","What was the only natural passageway through the Central Pacific?","Sierra Nevada s Donner Pass "
