"1","Who were the four business owners who incorporated the Central Pacific Railroad of California?","Charles Crocker, Collis P. Huntington, Mark Hopkins, and Leland Stanford "
"2","When was the Central Pacific Railroad of California incorporated?","June 28, 1861 "
"3","Where was the Central Pacific Railroad of California located?","San Francisco "
"4","When did the CP adopt the Pacific Railroad Act?","December 24th "
"5","How many alternate sections was Central Pacific provided in government land grants?","Ten "
"6","What was the name of the book that incorporated the Central Pacific Railroad of California?","Union Pacific Railroad "
"7","How many federal loans did the Central Pacific Railroad have?","Federal loans varying from 16,000 to 48,000 per mile "
"8","When was the Central Pacific Railroad of California completed?","July 1, 1876 "
"9","Who wrote The Routledge Historical Atlas Of The American Railroads?","John Stover "
"10","How many miles of new lines were used by the Central Pacific Railroad of California?","18,738 miles "
"11","What was the main issue of the Central Pacific Railroad of California?","Keeping the Central Pacific scheme "
"12","What was the enterprise properly supplied with?","Materials "
"13","What could be hacked out of local forests at CP?","Wooden ties "
"14","Along with cars and locomotives, what did CP have to transport to reach California?","Oceangoing vessels "
"15","What was the name of the book that covered roughly 15,000 miles?","Railroads In The Days Of Steam "
"16","Who solved the issue of railroads in the Days Of Steam?","Huntington "
"17","Where did the CP groundbreaking take place?","K Street "
"18","Who sat on the board in 1863?","Judah and the Big Four "
"19","What did Judah dislike about the Big Four?","Managerial decisions to monetary expenditures "
"20","Who pushed out the chief engineer who sat on the board?","The Big Four "
"21","When did Judah sail to New York City to find a financial backer who could buy out Stanford, Huntington, Leland,","October 3, 1863 "
"22","Who was the tycoon who was piecing together what later became the powerful New York Central System?","Cornelius Commodore Vanderbilt "
"23","What happened to the Commodore Vanderbilt?","Nothing "
"24","When did the Commodore die?","November 2, 1863 "
"25","Where did the Commodore Vanderbilt die?","New York "
